[Sat Mar 28 21:54:39 2026]: Користувач: аааа || Предмет: історія || Завдання: https://zno.osvita.ua/ukraine-history/all/233 (233)
[Sat Mar 28 21:55:01 2026]: Користувач: аааа || Предмет: історія || Завдання: https://zno.osvita.ua/ukraine-history/all/1091 (1091)
[Sat Mar 28 21:55:09 2026]: Користувач: аааа || Предмет: історія || Завдання: https://zno.osvita.ua/ukraine-history/all/2531 (2531)
[Sat Mar 28 22:00:36 2026]: Користувач: аааа || Предмет: історія || Завдання: https://zno.osvita.ua/ukraine-history/all/1844 (1844)
[Sat Mar 28 22:02:30 2026]: Користувач: аааа || Предмет: історія || Завдання: https://zno.osvita.ua/ukraine-history/all/1352 (1352)
[Sat Mar 28 22:15:52 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/1093 (1093)
[Sat Mar 28 22:16:31 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/1006 (1006)
[Sun Mar 29 10:30:20 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/633 (633)
[Sun Mar 29 10:30:56 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/112 (112)
[Sun Mar 29 10:31:32 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/417 (417)
[Sun Mar 29 10:32:02 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/611 (611)
[Sun Mar 29 10:32:09 2026]: Користувач: аааа || Предмет: фізика || Завдання: https://zno.osvita.ua/physics/all/1103 (1103)
